time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446650000	17.8482	5.91598	4.925	0.910785	0.57211	radar	5.19175	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0251	6.11999	4.95791	0.928973	0.549539	lidar	5.3391	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1548	6.35874	4.99928	0.979264	0.579566	radar	14.391	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.263	6.6047	5.02659	1.04111	0.643614	lidar	2.92082	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.386	6.83426	5.0448	1.07135	0.619658	radar	2.51289	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5381	6.96336	4.93808	1.04291	0.514725	lidar	20.1911	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.6843	7.16862	4.95331	1.02934	0.379036	radar	3.20298	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9158	7.29516	4.8969	0.955661	0.206056	lidar	32.8337	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0143	7.51483	4.86974	1.02974	0.420547	radar	9.52889	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0908	7.77962	4.9183	1.10085	0.519166	lidar	7.45814	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2229	7.97209	4.89604	1.09426	0.437311	radar	7.09197	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2826	8.18865	4.86482	1.14258	0.488335	lidar	11.3203	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4019	8.39928	4.86748	1.13452	0.383561	radar	1.82133	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4842	8.54196	4.74295	1.13434	0.352719	lidar	31.6057	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5876	8.73521	4.70597	1.1515	0.382589	radar	10.171	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7753	8.90867	4.68827	1.10202	0.254442	lidar	24.9432	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8343	9.1526	4.70052	1.17922	0.444532	radar	14.6155	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9811	9.37721	4.73683	1.16871	0.380603	lidar	16.3002	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.019	9.62748	4.7419	1.2652	0.618811	radar	12.7118	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.1027	9.86417	4.76254	1.28977	0.605847	lidar	2.0896	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1227	10.1809	4.88935	1.34773	0.582476	radar	161.113	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1677	10.4336	4.90844	1.38381	0.593549	lidar	0.575474	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1842	10.6956	4.93064	1.44385	0.674104	radar	7.13387	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2524	10.9487	4.9516	1.45544	0.633932	lidar	7.77893	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2512	11.2562	5.04912	1.489	0.557008	radar	102.135	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2907	11.4654	4.98421	1.49791	0.531617	lidar	6.63947	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2289	11.759	5.04376	1.61362	0.796432	radar	57.4915	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3301	11.9744	4.9849	1.5843	0.684644	lidar	38.7086	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3701	12.2233	4.98704	1.54526	0.419742	radar	9.60726	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3594	12.4804	5.00081	1.57465	0.432573	lidar	0.655549	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.317	12.7257	4.98903	1.65823	0.663027	radar	7.97522	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3527	12.9455	4.93448	1.65614	0.606599	lidar	11.4614	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3591	13.1507	4.86317	1.67175	0.598778	radar	55.0966	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3015	13.3444	4.79276	1.71632	0.627587	lidar	17.954	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2719	13.5893	4.80592	1.72708	0.544164	radar	2.66282	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2549	13.8378	4.81808	1.74149	0.521942	lidar	3.26599	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
